  
  
  X = 0.350E+0001     
  Z = -.200E+0000     
  Time = 0.1000E+0001     
       Y             EP_g    
  0.100E+0001  0.441E+0000
  0.300E+0001  0.462E+0000
  0.500E+0001  0.496E+0000
  0.700E+0001  0.530E+0000
  0.900E+0001  0.531E+0000
  0.110E+0002  0.501E+0000
  0.130E+0002  0.485E+0000
  0.150E+0002  0.501E+0000
  0.170E+0002  0.516E+0000
  0.190E+0002  0.567E+0000
  0.210E+0002  0.673E+0000
  0.230E+0002  0.772E+0000
  0.250E+0002  0.793E+0000
  0.270E+0002  0.725E+0000
  0.290E+0002  0.609E+0000
  0.310E+0002  0.643E+0000
  0.330E+0002  0.873E+0000
  0.350E+0002  0.100E+0001
  0.370E+0002  0.100E+0001
  0.390E+0002  0.100E+0001
  0.410E+0002  0.100E+0001
  0.430E+0002  0.100E+0001
  0.450E+0002  0.100E+0001
  0.470E+0002  0.100E+0001
  0.490E+0002  0.100E+0001
  0.510E+0002  0.100E+0001
  0.530E+0002  0.100E+0001
  0.550E+0002  0.100E+0001
  0.570E+0002  0.100E+0001
  0.590E+0002  0.100E+0001
  0.610E+0002  0.100E+0001
  0.630E+0002  0.100E+0001
  0.650E+0002  0.100E+0001
  0.670E+0002  0.100E+0001
  0.690E+0002  0.100E+0001
  0.710E+0002  0.100E+0001
  0.730E+0002  0.100E+0001
  0.750E+0002  0.100E+0001
  0.770E+0002  0.100E+0001
