  
  
  X = 0.350E+0001     
  Z = -.200E+0000     
  Time = 0.1000E+0001     
       Y             P_g     
  0.100E+0001  0.248E+0005
  0.300E+0001  0.245E+0005
  0.500E+0001  0.234E+0005
  0.700E+0001  0.213E+0005
  0.900E+0001  0.183E+0005
  0.110E+0002  0.150E+0005
  0.130E+0002  0.115E+0005
  0.150E+0002  0.833E+0004
  0.170E+0002  0.658E+0004
  0.190E+0002  0.534E+0004
  0.210E+0002  0.404E+0004
  0.230E+0002  0.322E+0004
  0.250E+0002  0.294E+0004
  0.270E+0002  0.271E+0004
  0.290E+0002  0.219E+0004
  0.310E+0002  0.955E+0003
  0.330E+0002  0.646E+0002
  0.350E+0002  0.564E+0002
  0.370E+0002  0.692E+0002
  0.390E+0002  0.689E+0002
  0.410E+0002  0.668E+0002
  0.430E+0002  0.644E+0002
  0.450E+0002  0.620E+0002
  0.470E+0002  0.595E+0002
  0.490E+0002  0.571E+0002
  0.510E+0002  0.548E+0002
  0.530E+0002  0.523E+0002
  0.550E+0002  0.499E+0002
  0.570E+0002  0.473E+0002
  0.590E+0002  0.447E+0002
  0.610E+0002  0.420E+0002
  0.630E+0002  0.393E+0002
  0.650E+0002  0.366E+0002
  0.670E+0002  0.338E+0002
  0.690E+0002  0.310E+0002
  0.710E+0002  0.282E+0002
  0.730E+0002  0.253E+0002
  0.750E+0002  0.225E+0002
  0.770E+0002  0.196E+0002
