  
  
  Y = 0.500E+0001     
  Z = -.500E+0000     
  Time average of EP_g     from Time = 0.1100E+0002 to 0.6000E+0002 
  Time = 0.6000E+0002     
       X             EP_g    
  -.125E+0000  0.988E+0032
  0.125E+0000  0.812E+0000
  0.375E+0000  0.938E+0000
  0.625E+0000  0.933E+0000
  0.875E+0000  0.942E+0000
  0.112E+0001  0.955E+0000
  0.138E+0001  0.968E+0000
  0.162E+0001  0.977E+0000
  0.188E+0001  0.982E+0000
  0.212E+0001  0.985E+0000
  0.238E+0001  0.987E+0000
  0.262E+0001  0.989E+0000
  0.288E+0001  0.990E+0000
  0.312E+0001  0.991E+0000
  0.338E+0001  0.993E+0000
  0.362E+0001  0.994E+0000
  0.388E+0001  0.995E+0000
  0.412E+0001  0.995E+0000
  0.438E+0001  0.995E+0000
  0.462E+0001  0.996E+0000
  0.488E+0001  0.996E+0000
  0.512E+0001  0.996E+0000
  0.538E+0001  0.996E+0000
  0.562E+0001  0.995E+0000
  0.588E+0001  0.995E+0000
  0.612E+0001  0.994E+0000
  0.638E+0001  0.994E+0000
  0.662E+0001  0.992E+0000
  0.688E+0001  0.991E+0000
  0.712E+0001  0.989E+0000
  0.738E+0001  0.988E+0000
  0.762E+0001  0.986E+0000
  0.788E+0001  0.985E+0000
  0.812E+0001  0.981E+0000
  0.838E+0001  0.976E+0000
  0.862E+0001  0.966E+0000
  0.888E+0001  0.953E+0000
  0.912E+0001  0.938E+0000
  0.938E+0001  0.930E+0000
  0.962E+0001  0.936E+0000
  0.988E+0001  0.808E+0000
  0.101E+0002  0.988E+0032
