  
  
  Y = 0.500E+0001     
  Z = -.500E+0000     
  Time average of E_Turb_G from Time = 0.1100E+0002 to 0.6000E+0002 
  Time = 0.6000E+0002     
       X             E_Turb_G
  -.125E+0000  0.278E+0007
  0.125E+0000  0.278E+0007
  0.375E+0000  0.488E+0006
  0.625E+0000  0.692E+0006
  0.875E+0000  0.735E+0006
  0.112E+0001  0.814E+0006
  0.138E+0001  0.915E+0006
  0.162E+0001  0.969E+0006
  0.188E+0001  0.100E+0007
  0.212E+0001  0.103E+0007
  0.238E+0001  0.105E+0007
  0.262E+0001  0.107E+0007
  0.288E+0001  0.109E+0007
  0.312E+0001  0.110E+0007
  0.338E+0001  0.111E+0007
  0.362E+0001  0.112E+0007
  0.388E+0001  0.113E+0007
  0.412E+0001  0.113E+0007
  0.438E+0001  0.114E+0007
  0.462E+0001  0.114E+0007
  0.488E+0001  0.114E+0007
  0.512E+0001  0.113E+0007
  0.538E+0001  0.113E+0007
  0.562E+0001  0.112E+0007
  0.588E+0001  0.111E+0007
  0.612E+0001  0.110E+0007
  0.638E+0001  0.108E+0007
  0.662E+0001  0.107E+0007
  0.688E+0001  0.105E+0007
  0.712E+0001  0.104E+0007
  0.738E+0001  0.102E+0007
  0.762E+0001  0.994E+0006
  0.788E+0001  0.970E+0006
  0.812E+0001  0.942E+0006
  0.838E+0001  0.910E+0006
  0.862E+0001  0.856E+0006
  0.888E+0001  0.753E+0006
  0.912E+0001  0.676E+0006
  0.938E+0001  0.638E+0006
  0.962E+0001  0.449E+0006
  0.988E+0001  0.267E+0007
  0.101E+0002  0.267E+0007
