  
  
  Y = 0.500E+0001     
  Z = -.500E+0000     
  Time average of K_Turb_G from Time = 0.1100E+0002 to 0.6000E+0002 
  Time = 0.6000E+0002     
       X             K_Turb_G
  -.125E+0000  0.810E+0004
  0.125E+0000  0.810E+0004
  0.375E+0000  0.241E+0004
  0.625E+0000  0.426E+0004
  0.875E+0000  0.569E+0004
  0.112E+0001  0.718E+0004
  0.138E+0001  0.906E+0004
  0.162E+0001  0.111E+0005
  0.188E+0001  0.129E+0005
  0.212E+0001  0.145E+0005
  0.238E+0001  0.160E+0005
  0.262E+0001  0.174E+0005
  0.288E+0001  0.186E+0005
  0.312E+0001  0.197E+0005
  0.338E+0001  0.207E+0005
  0.362E+0001  0.215E+0005
  0.388E+0001  0.222E+0005
  0.412E+0001  0.228E+0005
  0.438E+0001  0.232E+0005
  0.462E+0001  0.235E+0005
  0.488E+0001  0.236E+0005
  0.512E+0001  0.236E+0005
  0.538E+0001  0.234E+0005
  0.562E+0001  0.231E+0005
  0.588E+0001  0.226E+0005
  0.612E+0001  0.220E+0005
  0.638E+0001  0.212E+0005
  0.662E+0001  0.203E+0005
  0.688E+0001  0.193E+0005
  0.712E+0001  0.182E+0005
  0.738E+0001  0.169E+0005
  0.762E+0001  0.155E+0005
  0.788E+0001  0.140E+0005
  0.812E+0001  0.123E+0005
  0.838E+0001  0.105E+0005
  0.862E+0001  0.852E+0004
  0.888E+0001  0.668E+0004
  0.912E+0001  0.526E+0004
  0.938E+0001  0.394E+0004
  0.962E+0001  0.224E+0004
  0.988E+0001  0.781E+0004
  0.101E+0002  0.781E+0004
