  
  
  Y = 0.262E+0002     
  Z = -.500E+0000     
  Time = 0.1000E+0001     
       X             E_Turb_G
  -.159E+0000  0.153E+0003
  0.159E+0000  0.153E+0003
  0.476E+0000  0.509E-0001
  0.794E+0000  0.309E-0004
  0.111E+0001  0.281E-0007
  0.143E+0001  0.100E-0007
  0.175E+0001  0.100E-0007
  0.206E+0001  0.229E-0005
  0.238E+0001  0.353E-0001
  0.270E+0001  0.191E+0003
  0.302E+0001  0.163E+0002
  0.333E+0001  0.967E+0004
  0.365E+0001  0.949E+0003
  0.397E+0001  0.312E+0003
  0.429E+0001  0.132E-0001
  0.460E+0001  0.143E-0002
  0.492E+0001  0.113E-0006
  0.524E+0001  0.264E-0006
  0.556E+0001  0.233E-0004
  0.587E+0001  0.214E-0002
  0.619E+0001  0.248E-0001
  0.651E+0001  0.274E-0001
  0.683E+0001  0.149E-0001
  0.714E+0001  0.623E-0002
  0.746E+0001  0.255E-0002
  0.778E+0001  0.245E-0002
  0.810E+0001  0.958E-0002
  0.841E+0001  0.390E-0001
  0.873E+0001  0.116E+0000
  0.905E+0001  0.253E+0000
  0.937E+0001  0.460E+0000
  0.968E+0001  0.686E+0000
  0.100E+0002  0.815E+0000
  0.103E+0002  0.757E+0000
  0.106E+0002  0.663E+0000
  0.110E+0002  0.729E+0000
  0.113E+0002  0.239E+0001
  0.116E+0002  0.125E+0002
  0.119E+0002  0.331E+0002
  0.122E+0002  0.351E+0002
  0.125E+0002  0.620E+0002
  0.129E+0002  0.169E+0002
  0.132E+0002  0.604E+0001
  0.135E+0002  0.132E+0001
  0.138E+0002  0.310E+0000
  0.141E+0002  0.387E+0000
  0.144E+0002  0.150E+0001
  0.148E+0002  0.784E+0001
  0.151E+0002  0.272E+0002
  0.154E+0002  0.582E+0002
  0.157E+0002  0.851E+0002
  0.160E+0002  0.946E+0002
  0.164E+0002  0.862E+0002
  0.167E+0002  0.646E+0002
  0.170E+0002  0.415E+0002
  0.173E+0002  0.317E+0002
  0.176E+0002  0.496E+0002
  0.179E+0002  0.118E+0003
  0.183E+0002  0.256E+0003
  0.186E+0002  0.707E+0003
  0.189E+0002  0.428E+0003
  0.192E+0002  0.908E+0002
  0.195E+0002  0.514E-0002
  0.198E+0002  0.506E-0002
  0.202E+0002  0.894E+0002
  0.205E+0002  0.418E+0003
  0.208E+0002  0.717E+0003
  0.211E+0002  0.263E+0003
  0.214E+0002  0.125E+0003
  0.217E+0002  0.524E+0002
  0.221E+0002  0.328E+0002
  0.224E+0002  0.427E+0002
  0.227E+0002  0.673E+0002
  0.230E+0002  0.909E+0002
  0.233E+0002  0.101E+0003
  0.237E+0002  0.917E+0002
  0.240E+0002  0.632E+0002
  0.243E+0002  0.298E+0002
  0.246E+0002  0.860E+0001
  0.249E+0002  0.164E+0001
  0.252E+0002  0.399E+0000
  0.256E+0002  0.304E+0000
  0.259E+0002  0.127E+0001
  0.262E+0002  0.589E+0001
  0.265E+0002  0.165E+0002
  0.268E+0002  0.602E+0002
  0.271E+0002  0.363E+0002
  0.275E+0002  0.332E+0002
  0.278E+0002  0.129E+0002
  0.281E+0002  0.250E+0001
  0.284E+0002  0.736E+0000
  0.287E+0002  0.656E+0000
  0.291E+0002  0.751E+0000
  0.294E+0002  0.817E+0000
  0.297E+0002  0.697E+0000
  0.300E+0002  0.476E+0000
  0.303E+0002  0.267E+0000
  0.306E+0002  0.124E+0000
  0.310E+0002  0.420E-0001
  0.313E+0002  0.102E-0001
  0.316E+0002  0.257E-0002
  0.319E+0002  0.260E-0002
  0.322E+0002  0.633E-0002
  0.325E+0002  0.151E-0001
  0.329E+0002  0.275E-0001
  0.332E+0002  0.236E-0001
  0.335E+0002  0.166E-0002
  0.338E+0002  0.183E-0004
  0.341E+0002  0.211E-0006
  0.344E+0002  0.118E-0006
  0.348E+0002  0.150E-0002
  0.351E+0002  0.135E-0001
  0.354E+0002  0.327E+0003
  0.357E+0002  0.802E+0003
  0.360E+0002  0.501E+0004
  0.364E+0002  0.358E+0003
  0.367E+0002  0.202E+0003
  0.370E+0002  0.353E-0001
  0.373E+0002  0.242E-0005
  0.376E+0002  0.100E-0007
  0.379E+0002  0.100E-0007
  0.383E+0002  0.296E-0007
  0.386E+0002  0.321E-0004
  0.389E+0002  0.521E-0001
  0.392E+0002  0.155E+0003
  0.395E+0002  0.155E+0003
