  
  
  Y = 0.262E+0002     
  Z = -.500E+0000     
  Time = 0.1000E+0001     
       X             K_Turb_G
  -.159E+0000  0.940E+0001
  0.159E+0000  0.940E+0001
  0.476E+0000  0.914E-0003
  0.794E+0000  0.134E-0006
  0.111E+0001  0.100E-0007
  0.143E+0001  0.100E-0007
  0.175E+0001  0.100E-0007
  0.206E+0001  0.100E-0007
  0.238E+0001  0.149E-0007
  0.270E+0001  0.100E-0007
  0.302E+0001  0.100E-0007
  0.333E+0001  0.100E-0007
  0.365E+0001  0.100E-0007
  0.397E+0001  0.100E-0007
  0.429E+0001  0.100E-0007
  0.460E+0001  0.371E-0007
  0.492E+0001  0.397E-0005
  0.524E+0001  0.402E-0003
  0.556E+0001  0.378E-0001
  0.587E+0001  0.112E-0002
  0.619E+0001  0.832E-0003
  0.651E+0001  0.376E-0003
  0.683E+0001  0.144E-0003
  0.714E+0001  0.746E-0004
  0.746E+0001  0.155E-0003
  0.778E+0001  0.487E-0003
  0.810E+0001  0.135E-0002
  0.841E+0001  0.347E-0002
  0.873E+0001  0.901E-0002
  0.905E+0001  0.227E-0001
  0.937E+0001  0.507E-0001
  0.968E+0001  0.899E-0001
  0.100E+0002  0.122E+0000
  0.103E+0002  0.133E+0000
  0.106E+0002  0.126E+0000
  0.110E+0002  0.105E+0000
  0.113E+0002  0.788E-0001
  0.116E+0002  0.623E-0001
  0.119E+0002  0.102E+0000
  0.122E+0002  0.326E+0000
  0.125E+0002  0.108E+0001
  0.129E+0002  0.741E+0000
  0.132E+0002  0.362E+0000
  0.135E+0002  0.241E+0000
  0.138E+0002  0.109E+0000
  0.141E+0002  0.638E-0001
  0.144E+0002  0.287E+0000
  0.148E+0002  0.130E+0001
  0.151E+0002  0.415E+0001
  0.154E+0002  0.836E+0001
  0.157E+0002  0.112E+0002
  0.160E+0002  0.117E+0002
  0.164E+0002  0.105E+0002
  0.167E+0002  0.842E+0001
  0.170E+0002  0.553E+0001
  0.173E+0002  0.248E+0001
  0.176E+0002  0.122E+0001
  0.179E+0002  0.166E+0001
  0.183E+0002  0.367E+0001
  0.186E+0002  0.577E+0001
  0.189E+0002  0.592E+0001
  0.192E+0002  0.317E+0001
  0.195E+0002  0.177E-0003
  0.198E+0002  0.181E-0003
  0.202E+0002  0.322E+0001
  0.205E+0002  0.650E+0001
  0.208E+0002  0.587E+0001
  0.211E+0002  0.363E+0001
  0.214E+0002  0.162E+0001
  0.217E+0002  0.122E+0001
  0.221E+0002  0.243E+0001
  0.224E+0002  0.515E+0001
  0.227E+0002  0.767E+0001
  0.230E+0002  0.945E+0001
  0.233E+0002  0.104E+0002
  0.237E+0002  0.978E+0001
  0.240E+0002  0.721E+0001
  0.243E+0002  0.346E+0001
  0.246E+0002  0.106E+0001
  0.249E+0002  0.299E+0000
  0.252E+0002  0.795E-0001
  0.256E+0002  0.117E+0000
  0.259E+0002  0.244E+0000
  0.262E+0002  0.373E+0000
  0.265E+0002  0.784E+0000
  0.268E+0002  0.120E+0001
  0.271E+0002  0.376E+0000
  0.275E+0002  0.131E+0000
  0.278E+0002  0.654E-0001
  0.281E+0002  0.784E-0001
  0.284E+0002  0.107E+0000
  0.287E+0002  0.130E+0000
  0.291E+0002  0.139E+0000
  0.294E+0002  0.128E+0000
  0.297E+0002  0.942E-0001
  0.300E+0002  0.530E-0001
  0.303E+0002  0.235E-0001
  0.306E+0002  0.921E-0002
  0.310E+0002  0.354E-0002
  0.313E+0002  0.139E-0002
  0.316E+0002  0.516E-0003
  0.319E+0002  0.166E-0003
  0.322E+0002  0.758E-0004
  0.325E+0002  0.129E-0003
  0.329E+0002  0.347E-0003
  0.332E+0002  0.778E-0003
  0.335E+0002  0.111E-0002
  0.338E+0002  0.250E-0001
  0.341E+0002  0.270E-0003
  0.344E+0002  0.269E-0005
  0.348E+0002  0.261E-0007
  0.351E+0002  0.100E-0007
  0.354E+0002  0.100E-0007
  0.357E+0002  0.100E-0007
  0.360E+0002  0.100E-0007
  0.364E+0002  0.100E-0007
  0.367E+0002  0.100E-0007
  0.370E+0002  0.152E-0007
  0.373E+0002  0.100E-0007
  0.376E+0002  0.100E-0007
  0.379E+0002  0.100E-0007
  0.383E+0002  0.100E-0007
  0.386E+0002  0.115E-0006
  0.389E+0002  0.860E-0003
  0.392E+0002  0.943E+0001
  0.395E+0002  0.943E+0001
