  
  
  Y = 0.265E+0002     
  Z = -.500E+0000     
  Time = 0.1000E+0001     
       X             V_g     
  -.159E+0000  0.423E+0001
  0.159E+0000  0.596E+0001
  0.476E+0000  0.510E+0001
  0.794E+0000  0.442E+0001
  0.111E+0001  0.388E+0001
  0.143E+0001  0.353E+0001
  0.175E+0001  0.381E+0001
  0.206E+0001  0.565E+0001
  0.238E+0001  0.955E+0001
  0.270E+0001  0.141E+0002
  0.302E+0001  0.166E+0002
  0.333E+0001  0.166E+0002
  0.365E+0001  0.146E+0002
  0.397E+0001  0.113E+0002
  0.429E+0001  0.704E+0001
  0.460E+0001  0.135E+0001
  0.492E+0001  -.823E+0001
  0.524E+0001  -.167E+0002
  0.556E+0001  0.703E+0001
  0.587E+0001  0.184E+0002
  0.619E+0001  0.165E+0002
  0.651E+0001  0.169E+0002
  0.683E+0001  0.265E+0002
  0.714E+0001  0.338E+0002
  0.746E+0001  0.420E+0002
  0.778E+0001  0.528E+0002
  0.810E+0001  0.623E+0002
  0.841E+0001  0.705E+0002
  0.873E+0001  0.788E+0002
  0.905E+0001  0.928E+0002
  0.937E+0001  0.113E+0003
  0.968E+0001  0.137E+0003
  0.100E+0002  0.159E+0003
  0.103E+0002  0.171E+0003
  0.106E+0002  0.173E+0003
  0.110E+0002  0.153E+0003
  0.113E+0002  0.119E+0003
  0.116E+0002  0.853E+0002
  0.119E+0002  0.564E+0002
  0.122E+0002  0.186E+0002
  0.125E+0002  0.782E+0000
  0.129E+0002  0.230E+0001
  0.132E+0002  0.800E+0001
  0.135E+0002  0.139E+0002
  0.138E+0002  0.198E+0002
  0.141E+0002  0.257E+0002
  0.144E+0002  0.318E+0002
  0.148E+0002  0.392E+0002
  0.151E+0002  0.496E+0002
  0.154E+0002  0.635E+0002
  0.157E+0002  0.796E+0002
  0.160E+0002  0.984E+0002
  0.164E+0002  0.121E+0003
  0.167E+0002  0.148E+0003
  0.170E+0002  0.181E+0003
  0.173E+0002  0.203E+0003
  0.176E+0002  0.210E+0003
  0.179E+0002  0.183E+0003
  0.183E+0002  0.137E+0003
  0.186E+0002  0.108E+0003
  0.189E+0002  0.124E+0003
  0.192E+0002  0.143E+0003
  0.195E+0002  0.157E+0003
  0.198E+0002  0.157E+0003
  0.202E+0002  0.143E+0003
  0.205E+0002  0.124E+0003
  0.208E+0002  0.109E+0003
  0.211E+0002  0.139E+0003
  0.214E+0002  0.185E+0003
  0.217E+0002  0.209E+0003
  0.221E+0002  0.202E+0003
  0.224E+0002  0.178E+0003
  0.227E+0002  0.146E+0003
  0.230E+0002  0.119E+0003
  0.233E+0002  0.975E+0002
  0.237E+0002  0.794E+0002
  0.240E+0002  0.638E+0002
  0.243E+0002  0.502E+0002
  0.246E+0002  0.399E+0002
  0.249E+0002  0.322E+0002
  0.252E+0002  0.257E+0002
  0.256E+0002  0.196E+0002
  0.259E+0002  0.136E+0002
  0.262E+0002  0.773E+0001
  0.265E+0002  0.200E+0001
  0.268E+0002  0.689E+0000
  0.271E+0002  0.194E+0002
  0.275E+0002  0.574E+0002
  0.278E+0002  0.851E+0002
  0.281E+0002  0.119E+0003
  0.284E+0002  0.155E+0003
  0.287E+0002  0.173E+0003
  0.291E+0002  0.172E+0003
  0.294E+0002  0.161E+0003
  0.297E+0002  0.137E+0003
  0.300E+0002  0.114E+0003
  0.303E+0002  0.940E+0002
  0.306E+0002  0.795E+0002
  0.310E+0002  0.707E+0002
  0.313E+0002  0.628E+0002
  0.316E+0002  0.537E+0002
  0.319E+0002  0.430E+0002
  0.322E+0002  0.346E+0002
  0.325E+0002  0.274E+0002
  0.329E+0002  0.199E+0002
  0.332E+0002  0.156E+0002
  0.335E+0002  0.189E+0002
  0.338E+0002  0.910E+0001
  0.341E+0002  -.159E+0002
  0.344E+0002  -.113E+0002
  0.348E+0002  -.112E+0001
  0.351E+0002  0.446E+0001
  0.354E+0002  0.837E+0001
  0.357E+0002  0.114E+0002
  0.360E+0002  0.133E+0002
  0.364E+0002  0.133E+0002
  0.367E+0002  0.111E+0002
  0.370E+0002  0.724E+0001
  0.373E+0002  0.415E+0001
  0.376E+0002  0.291E+0001
  0.379E+0002  0.291E+0001
  0.383E+0002  0.339E+0001
  0.386E+0002  0.402E+0001
  0.389E+0002  0.480E+0001
  0.392E+0002  0.573E+0001
  0.395E+0002  0.407E+0001
