  
  
  Average value for X = 0.725E+0001 to 0.128E+0002          
  Y = 0.198E+0002     
  Z = -.500E+0000     
      Time          EP_g    
  0.000E+0000  0.100E+0001
  0.105E-0001  0.961E+0000
  0.206E-0001  0.865E+0000
  0.304E-0001  0.737E+0000
  0.404E-0001  0.630E+0000
  0.502E-0001  0.568E+0000
  0.607E-0001  0.542E+0000
  0.704E-0001  0.536E+0000
  0.802E-0001  0.537E+0000
  0.907E-0001  0.542E+0000
  0.100E+0000  0.546E+0000
  0.111E+0000  0.551E+0000
  0.120E+0000  0.554E+0000
  0.131E+0000  0.558E+0000
  0.140E+0000  0.560E+0000
  0.151E+0000  0.563E+0000
  0.161E+0000  0.565E+0000
  0.171E+0000  0.567E+0000
  0.180E+0000  0.568E+0000
  0.190E+0000  0.570E+0000
  0.200E+0000  0.572E+0000
  0.210E+0000  0.574E+0000
  0.220E+0000  0.575E+0000
  0.231E+0000  0.577E+0000
  0.240E+0000  0.578E+0000
  0.250E+0000  0.579E+0000
  0.261E+0000  0.580E+0000
  0.270E+0000  0.581E+0000
  0.280E+0000  0.582E+0000
  0.291E+0000  0.585E+0000
  0.300E+0000  0.589E+0000
  0.310E+0000  0.593E+0000
  0.320E+0000  0.596E+0000
  0.330E+0000  0.599E+0000
  0.340E+0000  0.602E+0000
  0.351E+0000  0.604E+0000
  0.360E+0000  0.606E+0000
  0.371E+0000  0.608E+0000
  0.380E+0000  0.614E+0000
  0.390E+0000  0.640E+0000
  0.400E+0000  0.695E+0000
  0.410E+0000  0.766E+0000
  0.421E+0000  0.833E+0000
  0.431E+0000  0.881E+0000
  0.440E+0000  0.911E+0000
  0.450E+0000  0.932E+0000
  0.460E+0000  0.946E+0000
  0.471E+0000  0.956E+0000
  0.480E+0000  0.963E+0000
  0.491E+0000  0.970E+0000
  0.500E+0000  0.974E+0000
  0.510E+0000  0.979E+0000
  0.521E+0000  0.983E+0000
  0.531E+0000  0.986E+0000
  0.540E+0000  0.988E+0000
  0.550E+0000  0.990E+0000
  0.561E+0000  0.992E+0000
  0.570E+0000  0.993E+0000
  0.580E+0000  0.994E+0000
  0.590E+0000  0.995E+0000
  0.600E+0000  0.996E+0000
  0.610E+0000  0.997E+0000
  0.620E+0000  0.997E+0000
  0.630E+0000  0.998E+0000
  0.640E+0000  0.998E+0000
  0.650E+0000  0.998E+0000
  0.660E+0000  0.998E+0000
  0.670E+0000  0.999E+0000
  0.680E+0000  0.999E+0000
  0.690E+0000  0.999E+0000
  0.700E+0000  0.999E+0000
  0.710E+0000  0.999E+0000
  0.721E+0000  0.999E+0000
  0.731E+0000  0.999E+0000
  0.740E+0000  0.999E+0000
  0.751E+0000  0.999E+0000
  0.761E+0000  0.999E+0000
  0.771E+0000  0.999E+0000
  0.781E+0000  0.999E+0000
  0.791E+0000  0.999E+0000
  0.801E+0000  0.100E+0001
  0.811E+0000  0.100E+0001
  0.821E+0000  0.100E+0001
  0.831E+0000  0.100E+0001
  0.841E+0000  0.100E+0001
  0.851E+0000  0.100E+0001
  0.861E+0000  0.100E+0001
  0.870E+0000  0.100E+0001
  0.881E+0000  0.100E+0001
  0.891E+0000  0.100E+0001
  0.901E+0000  0.100E+0001
  0.911E+0000  0.100E+0001
  0.921E+0000  0.100E+0001
  0.930E+0000  0.100E+0001
  0.940E+0000  0.100E+0001
  0.950E+0000  0.100E+0001
  0.960E+0000  0.100E+0001
  0.971E+0000  0.100E+0001
  0.981E+0000  0.100E+0001
  0.990E+0000  0.100E+0001
  0.100E+0001  0.100E+0001
